Segunda-feira,Escolaridade,Quantidade
2022-01-17,1,456.0
2022-01-17,2,232.28571428571428
2022-01-17,3,304.42857142857144
2022-01-17,4,118.71428571428571
2022-01-24,0,211.28571428571428
2022-01-24,1,462.14285714285717
2022-01-24,2,238.71428571428572
2022-01-24,3,320.2857142857143
2022-01-24,4,131.57142857142858
2022-01-31,0,174.85714285714286
2022-01-31,1,419.14285714285717
2022-01-31,2,209.28571428571428
2022-01-31,3,253.57142857142858
2022-01-31,4,105.85714285714286
2022-02-07,0,150.71428571428572
2022-02-07,1,328.7142857142857
2022-02-07,2,172.14285714285714
2022-02-07,3,190.71428571428572
2022-02-07,4,91.0
2022-02-14,0,128.42857142857142
2022-02-14,1,253.57142857142858
2022-02-14,2,132.42857142857142
2022-02-14,3,146.85714285714286
2022-02-14,4,66.0
2022-02-21,0,108.85714285714286
2022-02-21,1,194.57142857142858
2022-02-21,2,92.71428571428571
2022-02-21,3,105.28571428571429
2022-02-21,4,44.0
2022-02-28,0,87.85714285714286
2022-02-28,1,130.71428571428572
2022-02-28,2,65.0
2022-02-28,3,67.28571428571429
2022-02-28,4,26.571428571428573
2022-03-07,0,82.42857142857143
2022-03-07,1,115.57142857142857
2022-03-07,2,55.285714285714285
2022-03-07,3,64.28571428571429
2022-03-07,4,23.285714285714285
2022-03-14,0,81.57142857142857
2022-03-14,1,99.57142857142857
2022-03-14,2,52.0
2022-03-14,3,53.0
2022-03-14,4,24.428571428571427
2022-03-21,0,73.42857142857143
2022-03-21,1,88.57142857142857
2022-03-21,2,44.142857142857146
2022-03-21,3,54.0
2022-03-21,4,18.571428571428573
2022-03-28,0,71.57142857142857
2022-03-28,1,82.0
2022-03-28,2,41.714285714285715
2022-03-28,3,43.57142857142857
2022-03-28,4,17.285714285714285
2022-04-04,0,78.57142857142857
2022-04-04,1,70.0
2022-04-04,2,33.857142857142854
2022-04-04,3,36.142857142857146
2022-04-04,4,11.857142857142858
2022-04-11,0,77.28571428571429
2022-04-11,1,64.57142857142857
2022-04-11,2,29.571428571428573
2022-04-11,3,33.57142857142857
2022-04-11,4,11.571428571428571
2022-04-18,0,71.71428571428571
2022-04-18,1,69.14285714285714
2022-04-18,2,34.42857142857143
2022-04-18,3,35.142857142857146
2022-04-18,4,14.714285714285714
2022-04-25,0,82.28571428571429
2022-04-25,1,70.28571428571429
2022-04-25,2,38.714285714285715
2022-04-25,3,43.714285714285715
2022-04-25,4,16.714285714285715
2022-05-02,0,69.42857142857143
2022-05-02,1,68.42857142857143
2022-05-02,2,34.857142857142854
2022-05-02,3,42.142857142857146
2022-05-02,4,16.142857142857142
2022-05-09,0,77.42857142857143
2022-05-09,1,85.28571428571429
2022-05-09,2,41.142857142857146
2022-05-09,3,48.142857142857146
2022-05-09,4,22.857142857142858
2022-05-16,0,88.85714285714286
2022-05-16,1,101.14285714285714
2022-05-16,2,52.142857142857146
2022-05-16,3,60.0
2022-05-16,4,27.0
2022-05-23,0,93.57142857142857
2022-05-23,1,127.71428571428571
2022-05-23,2,68.85714285714286
2022-05-23,3,82.28571428571429
2022-05-23,4,37.285714285714285
2022-05-30,0,95.85714285714286
2022-05-30,1,142.71428571428572
2022-05-30,2,72.57142857142857
2022-05-30,3,87.42857142857143
2022-05-30,4,46.285714285714285
2022-06-06,0,92.71428571428571
2022-06-06,1,158.85714285714286
2022-06-06,2,78.57142857142857
2022-06-06,3,84.28571428571429
2022-06-06,4,43.285714285714285
2022-06-13,0,97.14285714285714
2022-06-13,1,143.85714285714286
2022-06-13,2,77.57142857142857
2022-06-13,3,84.57142857142857
2022-06-13,4,38.142857142857146
2022-06-20,0,101.42857142857143
2022-06-20,1,175.85714285714286
2022-06-20,2,96.57142857142857
2022-06-20,3,105.57142857142857
2022-06-20,4,46.285714285714285
2022-06-27,0,111.14285714285714
2022-06-27,1,170.28571428571428
2022-06-27,2,89.57142857142857
2022-06-27,3,99.28571428571429
2022-06-27,4,44.42857142857143
2022-07-04,0,107.71428571428571
2022-07-04,1,167.85714285714286
2022-07-04,2,87.0
2022-07-04,3,95.57142857142857
2022-07-04,4,41.57142857142857
2022-07-11,0,95.14285714285714
2022-07-11,1,155.14285714285714
2022-07-11,2,83.71428571428571
2022-07-11,3,86.57142857142857
2022-07-11,4,41.42857142857143
2022-07-18,0,78.28571428571429
2022-07-18,1,133.42857142857142
2022-07-18,2,65.14285714285714
2022-07-18,3,71.0
2022-07-18,4,35.142857142857146
2022-07-25,0,64.42857142857143
2022-07-25,1,106.57142857142857
2022-07-25,2,51.57142857142857
2022-07-25,3,56.857142857142854
2022-07-25,4,21.857142857142858
2022-08-01,0,61.714285714285715
2022-08-01,1,100.71428571428571
2022-08-01,2,49.857142857142854
2022-08-01,3,57.142857142857146
2022-08-01,4,21.428571428571427
2022-08-08,0,54.857142857142854
2022-08-08,1,95.71428571428571
2022-08-08,2,43.142857142857146
2022-08-08,3,46.857142857142854
2022-08-08,4,18.142857142857142
2022-08-15,0,47.714285714285715
2022-08-15,1,93.71428571428571
2022-08-15,2,41.42857142857143
2022-08-15,3,39.0
2022-08-15,4,13.714285714285714
2022-08-22,0,47.285714285714285
2022-08-22,1,87.28571428571429
2022-08-22,2,38.285714285714285
2022-08-22,3,40.42857142857143
2022-08-22,4,14.285714285714286
2022-08-29,0,46.857142857142854
2022-08-29,1,80.85714285714286
2022-08-29,2,31.857142857142858
2022-08-29,3,42.285714285714285
2022-08-29,4,15.285714285714286
2022-09-05,0,44.42857142857143
2022-09-05,1,63.42857142857143
2022-09-05,2,26.857142857142858
2022-09-05,3,35.42857142857143
2022-09-05,4,9.0
2022-09-12,0,38.42857142857143
2022-09-12,1,57.714285714285715
2022-09-12,2,27.428571428571427
2022-09-12,3,28.714285714285715
2022-09-12,4,9.571428571428571
2022-09-19,0,40.42857142857143
2022-09-19,1,67.85714285714286
2022-09-19,2,27.857142857142858
2022-09-19,3,28.857142857142858
2022-09-19,4,13.571428571428571
2022-09-26,0,40.42857142857143
